ID_Date;Date_Complete;Annee;Trimestre;Mois;Mois_Nom;Semaine;Jour;Jour_Semaine;Est_Weekend;Est_Ferie;Saison_Commerciale
1;2023-01-01;2023;1;1;January;52;1;Sunday;1;0;Soldes Hiver
2;2023-01-02;2023;1;1;January;1;2;Monday;0;0;Soldes Hiver
3;2023-01-03;2023;1;1;January;1;3;Tuesday;0;0;Soldes Hiver
4;2023-01-04;2023;1;1;January;1;4;Wednesday;0;0;Soldes Hiver
5;2023-01-05;2023;1;1;January;1;5;Thursday;0;0;Soldes Hiver
6;2023-01-06;2023;1;1;January;1;6;Friday;0;0;Soldes Hiver
7;2023-01-07;2023;1;1;January;1;7;Saturday;1;0;Soldes Hiver
8;2023-01-08;2023;1;1;January;1;8;Sunday;1;0;Soldes Hiver
9;2023-01-09;2023;1;1;January;2;9;Monday;0;0;Soldes Hiver
10;2023-01-10;2023;1;1;January;2;10;Tuesday;0;0;Soldes Hiver
11;2023-01-11;2023;1;1;January;2;11;Wednesday;0;0;Soldes Hiver
12;2023-01-12;2023;1;1;January;2;12;Thursday;0;0;Soldes Hiver
13;2023-01-13;2023;1;1;January;2;13;Friday;0;0;Soldes Hiver
14;2023-01-14;2023;1;1;January;2;14;Saturday;1;0;Soldes Hiver
15;2023-01-15;2023;1;1;January;2;15;Sunday;1;0;Soldes Hiver
16;2023-01-16;2023;1;1;January;3;16;Monday;0;0;Soldes Hiver
17;2023-01-17;2023;1;1;January;3;17;Tuesday;0;0;Soldes Hiver
18;2023-01-18;2023;1;1;January;3;18;Wednesday;0;0;Soldes Hiver
19;2023-01-19;2023;1;1;January;3;19;Thursday;0;0;Soldes Hiver
20;2023-01-20;2023;1;1;January;3;20;Friday;0;0;Soldes Hiver
21;2023-01-21;2023;1;1;January;3;21;Saturday;1;0;Soldes Hiver
22;2023-01-22;2023;1;1;January;3;22;Sunday;1;0;Soldes Hiver
23;2023-01-23;2023;1;1;January;4;23;Monday;0;0;Soldes Hiver
24;2023-01-24;2023;1;1;January;4;24;Tuesday;0;0;Soldes Hiver
25;2023-01-25;2023;1;1;January;4;25;Wednesday;0;0;Soldes Hiver
26;2023-01-26;2023;1;1;January;4;26;Thursday;0;0;Soldes Hiver
27;2023-01-27;2023;1;1;January;4;27;Friday;0;0;Soldes Hiver
28;2023-01-28;2023;1;1;January;4;28;Saturday;1;0;Soldes Hiver
29;2023-01-29;2023;1;1;January;4;29;Sunday;1;0;Soldes Hiver
30;2023-01-30;2023;1;1;January;5;30;Monday;0;0;Soldes Hiver
31;2023-01-31;2023;1;1;January;5;31;Tuesday;0;0;Soldes Hiver
32;2023-02-01;2023;1;2;February;5;1;Wednesday;0;0;Soldes Hiver
33;2023-02-02;2023;1;2;February;5;2;Thursday;0;0;Soldes Hiver
34;2023-02-03;2023;1;2;February;5;3;Friday;0;0;Soldes Hiver
35;2023-02-04;2023;1;2;February;5;4;Saturday;1;0;Soldes Hiver
36;2023-02-05;2023;1;2;February;5;5;Sunday;1;0;Soldes Hiver
37;2023-02-06;2023;1;2;February;6;6;Monday;0;0;Soldes Hiver
38;2023-02-07;2023;1;2;February;6;7;Tuesday;0;0;Soldes Hiver
39;2023-02-08;2023;1;2;February;6;8;Wednesday;0;0;Soldes Hiver
40;2023-02-09;2023;1;2;February;6;9;Thursday;0;0;Soldes Hiver
41;2023-02-10;2023;1;2;February;6;10;Friday;0;0;Soldes Hiver
42;2023-02-11;2023;1;2;February;6;11;Saturday;1;0;Soldes Hiver
43;2023-02-12;2023;1;2;February;6;12;Sunday;1;0;Soldes Hiver
44;2023-02-13;2023;1;2;February;7;13;Monday;0;0;Soldes Hiver
45;2023-02-14;2023;1;2;February;7;14;Tuesday;0;0;Soldes Hiver
46;2023-02-15;2023;1;2;February;7;15;Wednesday;0;0;Soldes Hiver
47;2023-02-16;2023;1;2;February;7;16;Thursday;0;0;Soldes Hiver
48;2023-02-17;2023;1;2;February;7;17;Friday;0;0;Soldes Hiver
49;2023-02-18;2023;1;2;February;7;18;Saturday;1;0;Soldes Hiver
50;2023-02-19;2023;1;2;February;7;19;Sunday;1;0;Soldes Hiver
51;2023-02-20;2023;1;2;February;8;20;Monday;0;0;Soldes Hiver
52;2023-02-21;2023;1;2;February;8;21;Tuesday;0;0;Soldes Hiver
53;2023-02-22;2023;1;2;February;8;22;Wednesday;0;0;Soldes Hiver
54;2023-02-23;2023;1;2;February;8;23;Thursday;0;0;Soldes Hiver
55;2023-02-24;2023;1;2;February;8;24;Friday;0;0;Soldes Hiver
56;2023-02-25;2023;1;2;February;8;25;Saturday;1;0;Soldes Hiver
57;2023-02-26;2023;1;2;February;8;26;Sunday;1;0;Soldes Hiver
58;2023-02-27;2023;1;2;February;9;27;Monday;0;0;Soldes Hiver
59;2023-02-28;2023;1;2;February;9;28;Tuesday;0;0;Soldes Hiver
60;2023-03-01;2023;1;3;March;9;1;Wednesday;0;0;Ramadan
61;2023-03-02;2023;1;3;March;9;2;Thursday;0;0;Ramadan
62;2023-03-03;2023;1;3;March;9;3;Friday;0;0;Ramadan
63;2023-03-04;2023;1;3;March;9;4;Saturday;1;0;Ramadan
64;2023-03-05;2023;1;3;March;9;5;Sunday;1;0;Ramadan
65;2023-03-06;2023;1;3;March;10;6;Monday;0;0;Ramadan
66;2023-03-07;2023;1;3;March;10;7;Tuesday;0;0;Ramadan
67;2023-03-08;2023;1;3;March;10;8;Wednesday;0;0;Ramadan
68;2023-03-09;2023;1;3;March;10;9;Thursday;0;0;Ramadan
69;2023-03-10;2023;1;3;March;10;10;Friday;0;0;Ramadan
70;2023-03-11;2023;1;3;March;10;11;Saturday;1;0;Ramadan
71;2023-03-12;2023;1;3;March;10;12;Sunday;1;0;Ramadan
72;2023-03-13;2023;1;3;March;11;13;Monday;0;0;Ramadan
73;2023-03-14;2023;1;3;March;11;14;Tuesday;0;0;Ramadan
74;2023-03-15;2023;1;3;March;11;15;Wednesday;0;0;Ramadan
75;2023-03-16;2023;1;3;March;11;16;Thursday;0;0;Ramadan
76;2023-03-17;2023;1;3;March;11;17;Friday;0;0;Ramadan
77;2023-03-18;2023;1;3;March;11;18;Saturday;1;0;Ramadan
78;2023-03-19;2023;1;3;March;11;19;Sunday;1;0;Ramadan
79;2023-03-20;2023;1;3;March;12;20;Monday;0;0;Ramadan
80;2023-03-21;2023;1;3;March;12;21;Tuesday;0;0;Ramadan
81;2023-03-22;2023;1;3;March;12;22;Wednesday;0;0;Ramadan
82;2023-03-23;2023;1;3;March;12;23;Thursday;0;0;Ramadan
83;2023-03-24;2023;1;3;March;12;24;Friday;0;0;Ramadan
84;2023-03-25;2023;1;3;March;12;25;Saturday;1;0;Ramadan
85;2023-03-26;2023;1;3;March;12;26;Sunday;1;0;Ramadan
86;2023-03-27;2023;1;3;March;13;27;Monday;0;0;Ramadan
87;2023-03-28;2023;1;3;March;13;28;Tuesday;0;0;Ramadan
88;2023-03-29;2023;1;3;March;13;29;Wednesday;0;0;Ramadan
89;2023-03-30;2023;1;3;March;13;30;Thursday;0;0;Ramadan
90;2023-03-31;2023;1;3;March;13;31;Friday;0;0;Ramadan
91;2023-04-01;2023;2;4;April;13;1;Saturday;1;0;Ramadan
92;2023-04-02;2023;2;4;April;13;2;Sunday;1;0;Ramadan
