ID_Stock;ID_Produit;ID_Date;Date_Snapshot;Quantite_Disponible;Quantite_Reservee;Valeur_Stock
1;1;1;2023-01-01;274;13;1330341.24
2;2;1;2023-01-01;415;2;5608629.55
3;3;1;2023-01-01;453;41;2282064.51
4;4;1;2023-01-01;338;32;4133932.66
5;5;1;2023-01-01;165;24;1933433.7
6;6;1;2023-01-01;141;39;1399652.01
7;7;1;2023-01-01;186;27;591874.32
8;8;1;2023-01-01;16;9;76532.0
9;9;1;2023-01-01;233;29;252856.26
10;10;1;2023-01-01;495;37;5738535.0
11;11;1;2023-01-01;257;39;2039788.44
12;12;1;2023-01-01;36;24;116424.72
13;13;1;2023-01-01;258;20;2835595.44
14;14;1;2023-01-01;272;28;173889.6
15;15;1;2023-01-01;29;27;112708.5
16;16;1;2023-01-01;416;1;1719103.36
17;17;1;2023-01-01;220;27;1263814.2
18;18;1;2023-01-01;263;5;2311578.01
19;19;1;2023-01-01;478;22;2195712.12
20;20;1;2023-01-01;436;32;1079658.08
21;21;1;2023-01-01;32;19;166761.6
22;22;1;2023-01-01;488;31;7000247.76
23;23;1;2023-01-01;99;26;1113226.29
24;24;1;2023-01-01;479;9;5171169.04
25;25;1;2023-01-01;411;46;527921.28
26;26;1;2023-01-01;351;40;399803.04
27;27;1;2023-01-01;437;45;724034.71
28;28;1;2023-01-01;399;26;509351.43
29;29;1;2023-01-01;94;44;186916.18
30;30;1;2023-01-01;214;33;249292.88
31;31;1;2023-01-01;488;1;95843.2
32;32;1;2023-01-01;0;0;0.0
33;33;1;2023-01-01;391;46;126031.03
34;34;1;2023-01-01;254;29;273039.84
35;35;1;2023-01-01;156;45;131952.6
36;36;1;2023-01-01;32;8;8921.28
37;37;1;2023-01-01;297;1;254683.44
38;38;1;2023-01-01;457;20;809799.43
39;39;1;2023-01-01;351;38;607472.19
40;40;1;2023-01-01;256;46;326379.52
41;41;1;2023-01-01;54;3;35211.78
42;42;1;2023-01-01;351;45;194608.44
43;43;1;2023-01-01;480;21;916848.0
44;44;1;2023-01-01;238;18;58445.66
45;45;1;2023-01-01;183;39;38477.58
46;46;1;2023-01-01;341;25;133549.24
47;47;1;2023-01-01;17;8;4623.32
48;48;1;2023-01-01;447;48;56764.53
49;49;1;2023-01-01;444;3;975849.84
50;50;1;2023-01-01;29;1;65129.36
51;51;1;2023-01-01;183;13;416760.54
52;52;1;2023-01-01;493;41;914786.15
53;53;1;2023-01-01;398;20;1040953.08
54;54;1;2023-01-01;307;19;269779.32
55;55;1;2023-01-01;103;4;213718.82
56;56;1;2023-01-01;2;2;1387.38
57;57;1;2023-01-01;105;31;216247.5
58;58;1;2023-01-01;309;28;467102.94
59;59;1;2023-01-01;272;20;351296.16
60;60;1;2023-01-01;203;41;488679.87
61;61;1;2023-01-01;207;4;184577.76
62;62;1;2023-01-01;426;28;263463.96
63;63;1;2023-01-01;351;47;175440.33
64;64;1;2023-01-01;294;1;46043.34
65;65;1;2023-01-01;423;43;66000.69
66;66;1;2023-01-01;65;29;16624.4
67;67;1;2023-01-01;138;0;71090.7
68;68;1;2023-01-01;330;37;255053.7
69;69;1;2023-01-01;155;4;98225.05
70;70;1;2023-01-01;359;43;165445.15
71;71;1;2023-01-01;430;22;292782.7
72;72;1;2023-01-01;2;2;125.5
73;73;1;2023-01-01;297;24;95951.79
74;74;1;2023-01-01;138;41;60437.1
75;75;1;2023-01-01;160;13;55147.2
76;76;1;2023-01-01;305;17;106823.2
77;77;1;2023-01-01;189;13;72141.3
78;78;1;2023-01-01;143;25;39529.49
79;79;1;2023-01-01;443;3;106231.4
80;80;1;2023-01-01;283;2;164154.15
81;81;1;2023-01-01;336;44;35118.72
82;82;1;2023-01-01;323;24;109829.69
83;83;1;2023-01-01;198;39;23164.02
84;84;1;2023-01-01;221;6;14718.6
85;85;1;2023-01-01;491;17;303585.3
86;86;1;2023-01-01;347;48;223988.5
87;87;1;2023-01-01;393;39;547590.48
88;88;1;2023-01-01;102;49;73638.9
89;89;1;2023-01-01;459;35;608514.66
90;90;1;2023-01-01;25;8;37211.75
91;91;1;2023-01-01;183;46;219391.38
92;92;1;2023-01-01;29;22;6138.14
93;93;1;2023-01-01;468;12;367422.12
94;94;1;2023-01-01;206;50;250454.8
95;95;1;2023-01-01;476;49;504778.96
96;96;1;2023-01-01;340;27;386280.8
97;97;1;2023-01-01;311;19;261180.91
98;98;1;2023-01-01;267;15;144521.76
99;99;1;2023-01-01;486;41;172539.72
100;100;1;2023-01-01;19;18;12484.33
101;101;1;2023-01-01;366;38;88268.22
102;102;1;2023-01-01;450;1;583069.5
103;103;1;2023-01-01;70;46;17784.2
