ID_Vente,ID_Client,ID_Produit,Date,ID_Canal,Quantite,Montant_TTC
1,3032,32,2023-04-16,2,3,2396.02
2,3774,16,2024-12-12,1,4,4474.56
3,3764,192,2023-01-19,1,4,1363.78
4,3629,101,2023-09-26,2,4,648.14
8,1533,108,2023-04-16,2,2,224.47
11,3566,147,2023-05-08,3,2,742.56
12,4004,200,2023-02-14,3,2,15640.1
13,3832,6,2024-02-13,3,1,458.16
14,1746,83,2024-10-01,1,1,1084.26
15,4544,51,2024-01-04,2,3,1649.34
16,140,76,2023-12-06,3,1,7350.1
17,1719,97,2023-07-08,2,4,12046.51
18,2876,222,2024-07-17,2,2,14140.32
22,1077,286,2024-02-18,3,1,956.72
27,2856,184,2023-02-09,2,4,14877.55
28,4162,2,2024-04-21,1,4,6380.59
29,638,91,2024-11-16,1,2,4836.65
30,878,107,2024-06-17,3,1,1236.17
32,1410,89,2024-02-06,3,2,1157.26
34,2674,5,2024-11-18,2,3,983.41
35,2964,126,2024-09-12,3,3,797.54
36,4113,129,2023-01-26,2,3,8489.63
39,3126,260,2024-07-21,1,2,19012.25
43,4503,166,2023-12-18,3,4,1401.22
44,696,42,2023-06-18,3,3,3637.3
45,2210,241,2024-09-04,1,3,3769.31
46,2397,270,2023-04-11,1,4,1258.42
50,1521,221,2024-11-07,3,3,1467.61
53,1406,107,2024-11-12,2,4,4944.67
58,4749,79,2023-05-17,2,3,5502.82
59,1898,161,2023-09-12,1,1,1328.1
60,662,61,2023-03-08,3,4,1198.22
61,662,1,2023-04-23,2,4,4890.24
62,3376,279,2024-11-01,3,2,1811.33
64,4750,86,2023-08-09,1,4,2671.97
66,4957,185,2023-08-17,3,2,508.7
70,263,38,2023-08-06,3,1,9286.45
71,2842,186,2024-11-24,3,4,3957.02
76,2150,105,2024-09-07,1,1,476.44
77,277,212,2024-11-02,2,1,2338.03
78,3132,2,2023-11-20,1,3,4785.44
81,627,49,2023-11-17,3,2,2642.42
83,3452,204,2023-09-11,3,3,268.7
85,770,112,2024-11-04,2,2,1564.87
88,418,245,2023-02-04,1,2,903.38
89,1371,214,2023-02-23,3,2,992.93
90,3514,251,2024-05-04,3,3,10291.61
91,1608,273,2024-11-12,2,1,829.07
94,4717,161,2023-10-24,2,4,5312.4
96,2193,51,2023-04-22,1,4,2199.12
103,2296,52,2024-01-09,1,2,125.18
104,4690,186,2024-04-03,2,1,989.26
105,836,64,2023-04-02,2,4,6309.79
108,2638,142,2024-04-26,3,3,23155.24
113,399,69,2023-11-16,3,1,997.36
114,4386,61,2024-01-09,1,3,898.67
115,3198,273,2024-01-11,1,3,2487.2
116,2203,22,2023-10-14,3,2,1054.78
117,3237,149,2023-06-04,1,2,5231.14
118,2785,21,2024-10-18,3,2,3971.06
119,2849,254,2024-11-06,2,1,5340.56
120,3906,152,2024-10-27,1,2,6665.66
124,1505,110,2024-11-03,1,2,838.49
126,95,286,2024-09-22,1,3,2870.17
127,1369,24,2023-04-18,3,4,14989.97
129,709,185,2023-08-12,3,4,1017.41
130,4058,287,2024-04-28,1,4,2552.21
133,4293,103,2024-10-14,3,4,11330.02
138,3338,79,2023-04-30,1,3,5502.82
139,706,143,2023-07-27,1,1,3037.34
141,1926,169,2024-08-29,1,1,2548.43
142,1200,17,2024-12-07,2,2,889.51
143,443,43,2023-08-11,2,3,4037.33
144,3636,116,2024-07-09,3,2,15263.38
145,4888,228,2023-02-21,3,2,5676.41
146,3757,297,2024-06-04,3,1,338.6
148,225,67,2023-08-19,2,3,927.68
150,1793,184,2023-10-09,2,4,14877.55
151,2624,89,2023-08-03,3,3,1735.88
153,2220,192,2023-11-08,1,2,681.89
155,761,298,2024-07-27,3,1,352.93
158,2533,261,2023-02-23,3,3,802.58
162,2173,210,2024-12-29,1,4,13123.49
163,2381,259,2023-06-11,3,4,4439.81
166,2692,125,2023-03-07,1,3,10956.92
